Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
LSBC F565-V01,29.5,0.2,7.9,BS,1998A&AS..133..181M,19:30.0,+21:36:12.0,207.4,41.8,dI,410
NGC 2841,30.58,0.06,13.1,Cepheids,2001ApJ...559..243M,22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
NGC 2841,30.74,0.23,14.1,Cepheids,2001ApJ...559..243M,22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
NGC 2841,30.75,0.06,14.1,Cepheids,2006ApJS..165..108S,22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
NGC 2841,30.87,...,14.9,Tully-Fisher,2003astro.ph.10284R,22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
NGC 2841,31.25,...,17.8,Tully-Fisher,2003astro.ph.10284R,22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
NGC 2841,31.74,...,22.3,Tully-Fisher,LEDA [April 2006],22:02.6,+50:58:35.5,166.9,44.2,SAR3*,674
ESO 126- G 010,32.94,0.12,38.7,Sosies,2002A&A...393...57T,22:24.9,-61:02:58.3,280.2,-7.8,SBR3*,1922
NGC 2865,32.89,0.2,37.8,SBF,2001ApJ...546..681T,23:30.2,-23:09:41.2,253,18.9,E.3+,2401
NGC 2865,32.89,0.2,37.9,SBF,2001MNRAS.327.1004B,23:30.2,-23:09:41.2,253,18.9,E.3+,2401
NGC 2865,32.49,0.41,31.5,FP,2001MNRAS.327.1004B,23:30.2,-23:09:41.2,253,18.9,E.3+,2401
UGC 04998,29.58,...,8.24,TRGB,2006PASP..118..580A,25:10.9,+68:22:58.9,144.7,38.9,I..9*,735
UGC 04998,30.11,0.18,10.52,SBF,2001A&A...380...90J,25:10.9,+68:22:58.9,144.7,38.9,I..9*,735
NGC 2915,27.89,0.26,3.78,TRGB,2003A&A...398..479K,26:11.5,-76:37:34.8,292,-18.4,I.0,257
NGC 2880,31.7,0.21,21.9,SBF,2001ApJ...546..681T,29:34.6,+62:29:26.2,151.5,41.8,LB.-,1633
NGC 2904,31.86,0.24,23.6,SBF,2001ApJ...546..681T,30:17.0,-30:23:06.1,259.5,15.1,LXS-?,2175
NGC 2903,29.74,...,8.9,BS,2000A&AS..142..425D,32:10.1,+21:30:03.0,208.7,44.5,SXT4,476
NGC 2903,30,0.13,10,Sosies,2002A&A...393...57T,32:10.1,+21:30:03.0,208.7,44.5,SXT4,476
NGC 2903,29.7,...,8.71,Tully-Fisher,2003astro.ph.10284R,32:10.1,+21:30:03.0,208.7,44.5,SXT4,476
NGC 2903,29.72,...,8.79,Tully-Fisher,2003astro.ph.10284R,32:10.1,+21:30:03.0,208.7,44.5,SXT4,476
NGC 2903,30.06,...,10.3,Tully-Fisher,LEDA [April 2006],32:10.1,+21:30:03.0,208.7,44.5,SXT4,476
"LSBC F565-V03; UGC 05086",29.36,0.2,7.45,BS,1998A&AS..133..181M,32:48.9,+21:27:54.5,208.8,44.7,I..9*,368
NGC 2919,33.49,0.5,49.9,Sosies,2002A&A...393...57T,34:47.5,+10:17:01.4,223.2,40.9,SXR3*,2313
NGC 2916,33.04,0.26,40.6,Sosies,2002A&A...393...57T,34:57.6,+21:42:18.9,208.7,45.2,SAT3$,3649
NGC 2935,32.42*,0.24,30.2,SNIa,2006ApJ...645..488W,36:44.8,-21:07:41.3,253.6,22.6,PSXS3,2072
NGC 2935,32.64,0.14,33.7,SNIa,2005ApJ...624..532R,36:44.8,-21:07:41.3,253.6,22.6,PSXS3,2072
NGC 2935,32.01,0.22,25.2,Sosies,2002A&A...393...57T,36:44.9,-21:07:41.3,253.6,22.6,PSXS3,2072
LCSB S1315O,37.17*,0.15,258,SNIa,2004ApJ...607..665R,38:42.7,-12:20:07.9,246.7,28.8,,14998
"DDO 063; Ho I",27.92,0.26,3.84,TRGB,2002A&A...383..125K,40:32.3,+71:10:56.0,140.7,38.7,IXS9,250
"DDO 063; Ho I",28.85,0.39,5.89,BS,1997AstL...23..656G,40:32.3,+71:10:56.0,140.7,38.7,IXS9,250
NGC 2962,32.66,0.15,34,SBF,2001ApJ...559..584A,40:53.9,+05:09:57.1,230,39.7,RLXT+,1830
NGC 2962,32.43*,0.17,30.4,SNIa,2006ApJ...645..488W,40:53.9,+05:09:57.1,230,39.7,RLXT+,1830
NGC 2962,32.84,0.14,37,SNIa,2005ApJ...624..532R,40:53.9,+05:09:57.1,230,39.7,RLXT+,1830
ESO 434- G 023,33.41,0.18,48.1,Sosies,2002A&A...393...57T,41:43.1,-28:11:28.8,259.8,18.4,SXS7,2314
NGC 2974,32.39,0.41,30.1,FP,2001MNRAS.327.1004B,42:33.3,-03:41:56.9,239.5,35,E.4,1893
NGC 2974,31.66,0.24,21.5,SBF,2001ApJ...546..681T,42:33.3,-03:41:56.9,239.5,35,E.4,1893
NGC 2974,31.76,0.24,22.4,SBF,2001MNRAS.327.1004B,42:33.3,-03:41:56.9,239.5,35,E.4,1893
NGC 2950,30.87,0.27,14.9,SBF,2001ApJ...546..681T,42:35.1,+58:51:04.6,155.2,44.7,RLBR0,1406
NGC 2986,32.38*,0.24,29.7,SNIa,2006ApJ...645..488W,44:16.0,-21:16:40.8,255,23.7,E.2,2106
NGC 2986,33.08,0.14,41.3,SNIa,2005ApJ...624..532R,44:16.0,-21:16:40.8,255,23.7,E.2,2106
NGC 2976,27.76,0.23,3.56,TRGB,2003A&A...398..479K,47:15.5,+67:54:59.0,143.9,40.9,SA.5P,106
NGC 2976,27.96,...,3.91,Tully-Fisher,LEDA [April 2006],47:15.5,+67:54:59.0,143.9,40.9,SA.5P,106
"DDO 064; UGC 05272",29.26,0.2,7.11,BS,1998A&AS..133..181M,50:22.4,+31:29:16.0,195.4,50.6,I..9,480
NGC 3021,32.26*,0.19,28.2,SNIa,2006ApJ...645..488W,50:57.1,+33:33:12.7,192.2,50.8,SAT4*,1509
NGC 3021,32.71,0.14,34.8,SNIa,2005ApJ...624..532R,50:57.1,+33:33:12.7,192.2,50.8,SAT4*,1509
NGC 3038,33.07,0.12,41.1,Sosies,2002A&A...393...57T,51:15.5,-32:45:09.2,264.6,16.4,SAT3,2466
UGC 05288,29.18,...,6.85,BS,1999AstL...25..322S,51:17.0,+07:49:39.0,228.7,43.2,S..8*,429
NGC 3032,31.55,0.28,20.4,SBF,2003ApJ...583..712J,52:08.2,+29:14:10.4,199,50.7,LXR0,1485
NGC 3032,31.71,0.28,22,SBF,2001ApJ...546..681T,52:08.2,+29:14:10.4,199,50.7,LXR0,1485
BK 03N,28.02,0.14,4.02,TRGB,2002A&A...383..125K,53:48.5,+68:58:08.0,142.3,40.8,Im,68
NGC 3054,32.69,0.08,34.5,Sosies,2002A&A...393...57T,54:28.6,-25:42:12.4,260.2,22.1,SXR3,2217
NGC 3056,30.27,0.25,11.3,SBF,2003ApJ...583..712J,54:32.9,-28:17:53.5,262.1,20.2,RLAS+*,803
NGC 3056,30.43,0.25,12.2,SBF,2001ApJ...546..681T,54:32.9,-28:17:53.5,262.1,20.2,RLAS+*,803
"M81; NGC 3031",27.55,0.2,3.24,Cepheids,1997ApJ...491...13K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.59,0.31,3.3,Cepheids,1991PASP..103..933M,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.6,0.2,3.31,Cepheids,1998A&A...339..671P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.66,0.08,3.4,Cepheids,2002A&A...389...19P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.66,0.09,3.4,Cepheids,2001ApJ...548..564W,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.7,0.16,3.47,Cepheids,2002A&A...389...19P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.72,0.11,3.5,Cepheids,1997ApJ...491...13K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.75,0.08,3.55,Cepheids,2004ApJ...608...42S,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.75,0.1,3.55,Cepheids,2002A&A...389...19P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.75,0.08,3.55,Cepheids,2001ApJ...553...47F,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.79,0.28,3.61,Cepheids,1993AJ....106.2243M,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.79,0.09,3.62,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.8,0.09,3.63,Cepheids,2006ApJS..165..108S,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.8,0.09,3.63,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.8,0.08,3.63,Cepheids,2001ApJ...553...47F,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.8,0.08,3.63,Cepheids,1994ApJ...427..628F,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.82,0.09,3.66,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.85,0.1,3.72,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.87,0.1,3.74,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.89,0.09,3.78,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.94,0.1,3.87,Cepheids,2003A&A...411..361K,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.12,0.05,4.21,Cepheids,1997hipp.conf..629P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.2,0.05,4.37,Cepheids,1997hipp.conf..629P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.4,...,4.79,Cepheids,1991MNRAS.250..438M,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.03,0.12,4.04,TRGB,2004ApJ...608...42S,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.7,0.09,3.47,PNLF,2002ApJ...577...31C,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.72,0.25,3.5,PNLF,1989ApJ...344..704J,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.5,0.3,3.2,GCLF,1995AJ....109.1055P,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.5,0.5,5,GCLF,2000ApJS..128..431F,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.8,0.26,3.63,SBF,2003ApJ...583..712J,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.96,0.26,3.91,SBF,2001ApJ...546..681T,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.7,0.09,3.47,Sosies,2002A&A...393...57T,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.71,...,3.48,Tully-Fisher,2003astro.ph.10284R,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.95,...,3.89,Tully-Fisher,2003astro.ph.10284R,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",28.57,...,5.18,Tully-Fisher,LEDA [April 2006],55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.71,...,3.48,SNII opt,1995ApJ...446..167C,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",26.9,...,2.4,SNII rad,1998ApJ...500...51W,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.75,...,3.55,Novae,1999PASP..111.1367S,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",26.67,0.25,3.4,Mira/LPV,1998ASPC..135..390H,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M81; NGC 3031",27.69,0.27,3.5,Mira/LPV,1998ASPC..135..390H,55:33.2,+69:03:55.1,142.1,40.9,SAS2,69
"M82; NGC 3034",27.95,0.14,3.89,TRGB,1999ApJ...526..599S,55:52.2,+69:40:46.9,141.4,40.6,I.0../,323
"DDO 068; UGC 05340",28.85,0.2,5.89,BS,1998A&AS..133..181M,56:45.7,+28:49:35.0,199.9,51.6,I..9P*,454
KDG 061,27.78,...,3.6,TRGB,2000A&A...363..117K,57:03.1,+68:35:31.0,142.5,41.3,dE,-30
KDG 061,27.61,0.17,3.3,SBF,2005A&A...437..823R,57:03.1,+68:35:31.0,142.5,41.3,dE,-30
"DDO 066; Ho IX",27.84,...,3.7,TRGB,2006Ap.....49....3K,57:32.0,+69:02:45.0,142,41.1,I..9,154
"DDO 066; Ho IX",27.11,0.39,2.64,BS,1997AstL...23..656G,57:32.0,+69:02:45.0,142,41.1,I..9,154
Arp's Loop,27.94,0.12,3.87,TRGB,2002A&A...383..125K,57:32.6,+69:17:00.3,141.7,40.9,,207
NGC 3078,32.73,0.3,35.2,SBF,2001ApJ...546..681T,58:24.6,-26:55:36.7,261.8,21.8,E.2+,2283
NGC 3078,32.89,0.3,37.8,SBF,2001MNRAS.327.1004B,58:24.6,-26:55:36.7,261.8,21.8,E.2+,2283
NGC 3078,32.96,0.41,39.1,FP,2001MNRAS.327.1004B,58:24.6,-26:55:36.7,261.8,21.8,E.2+,2283
NGC 3087,32.72,0.21,35,SBF,2001ApJ...546..681T,59:08.7,-34:13:30.8,266.9,16.3,E+..*,2452
NGC 3087,32.8,0.21,36.3,SBF,2001MNRAS.327.1004B,59:08.7,-34:13:30.8,266.9,16.3,E+..*,2452
NGC 3087,33.19,0.41,43.4,FP,2001MNRAS.327.1004B,59:08.7,-34:13:30.8,266.9,16.3,E+..*,2452
"DDO 069; Leo A",24.47,0.1,0.783,Cepheids,2006MmSAI..77..299G,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.49,0.03,0.791,Cepheids,2003AJ....125.1261D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.61,0.04,0.836,Cepheids,2003AJ....125.1261D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",26.74,...,2.23,Cepheids,1994AJ....108..645H,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.2,0.2,0.692,TRGB,1998AJ....116.1244T,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.53,0.06,0.805,TRGB,2003AJ....125.1261D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.51,0.12,0.798,RR Lyrae,2002AJ....123.3154D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.52,0.09,0.802,RR Lyrae,2003AJ....125.1261D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.6,...,0.832,RR Lyrae,2004A&A...424..927C,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
"DDO 069; Leo A",24.43,0.15,0.769,Red Clump,2003AJ....125.1261D,59:26.5,+30:44:47.0,196.9,52.4,IB.9,-19
NGC 3089,32.38,0.31,29.9,Sosies,2002A&A...393...57T,59:36.7,-28:19:52.9,263,20.9,SXT3,2409
Sextans B,25.63,0.21,1.34,Cepheids,2004ApJ...608...42S,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.63,0.21,1.34,Cepheids,1994A&A...287..371P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.64,...,1.34,Cepheids,1991PASP..103..933M,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.69,0.27,1.37,Cepheids,1997ApJ...480..589S,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.8,0.26,1.45,Cepheids,2001ApJ...548..564W,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.9,0.12,1.51,Cepheids,1997hipp.conf..629P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.94,0.12,1.54,Cepheids,1997hipp.conf..629P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,26.72,0.3,2.21,Cepheids,2002A&A...389...19P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,26.76,0.35,2.25,Cepheids,2002A&A...389...19P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,26.77,0.18,2.26,Cepheids,2002A&A...389..19P,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.63,0.04,1.34,TRGB,2004ApJ...608...42S,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.63,0.04,1.34,TRGB,2002AJ....124..213M,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,25.66,0.13,1.36,TRGB,2002A&A...389..812K,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
Sextans B,26.5,,2,PNLF,2002A&A...386..869M,00:00.1,+05:19:56.0,233.2,43.8,IBS9,168
NGC 3073,32.64,0.93,33.7,SBF,2001ApJ...546..681T,00:52.1,+55:37:07.8,158,48.2,LX.-,1273
NGC 3109,25.05,...,1.02,Cepheids,1993AJ....105.1392D,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.1,0.16,1.05,Cepheids,2002A&A...389...19P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.2,0.31,1.1,Cepheids,2002A&A...389...19P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.2,0.04,1.1,Cepheids,1997hipp.conf..629P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.26,0.22,1.13,Cepheids,2000ApJS..128..431F,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.27,0.12,1.13,Cepheids,2001ApJ...548..564W,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.3,0.04,1.15,Cepheids,1997hipp.conf..629P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.38,0.22,1.19,Cepheids,2002A&A...389...19P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.5,0.2,1.26,Cepheids,1992AJ....103.1151C,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.54,0.05,1.28,Cepheids,2006ApJ...648..366P,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.54,0.28,1.28,Cepheids,2004ApJ...608...42S,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.57,0.02,1.3,Cepheids,2006ApJ...648..375S,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.67,0.16,1.36,Cepheids,1997AJ....114..976M,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.94,...,1.54,Cepheids,1991PASP..103..933M,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.45,0.15,1.23,TRGB,1993ApJ...408..409L,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.52,0.05,1.27,TRGB,2004ApJ...608...42S,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.52,0.06,1.27,TRGB,2002AJ....124..213M,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.62,0.13,1.33,TRGB,2002A&A...389..812K,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.96,0.4,1.6,PNLF,1992AJ....103...54R,03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3109,25.68,...,1.37,Tully-Fisher,LEDA [April 2006],03:06.9,-26:09:34.5,262.1,23.1,SBS9./,194
NGC 3077,27.91,...,3.82,TRGB,2003A&A...398..479K,03:19.1,+68:44:02.1,141.9,41.7,I.0.P,120
NGC 3077,27.93,0.14,3.85,TRGB,2001ApJ...555..280S,03:19.1,+68:44:02.1,141.9,41.7,I.0.P,120
NGC 3077,28.03,0.13,4.04,SBF,2001ApJ...546..681T,03:19.1,+68:44:02.1,141.9,41.7,I.0.P,120
NGC 3077,28.11,...,4.19,Tully-Fisher,LEDA [April 2006],03:19.1,+68:44:02.1,141.9,41.7,I.0.P,120
[HM93a] 100125-3513.1,36.44*,0.22,181,SNIa,2006ApJ...645..488W,03:35.5,-35:27:41.0,268.4,15.9,E3/S01,20310
[HM93a] 100125-3513.1,36.724*,0.063,207,SNIa,2006ApJ...647..501P,03:35.5,-35:27:41.0,268.4,15.9,E3/S01,20310
[HM93a] 100125-3513.1,36.827*,0.06,217,SNIa,2006A&A...447...31A,03:35.5,-35:27:41.0,268.4,15.9,E3/S01,20310
[HM93a] 100125-3513.1,37.08*,0.19,243,SNIa,2004ApJ...607..665R,03:35.5,-35:27:41.0,268.4,15.9,E3/S01,20310
[HM93a] 100125-3513.1,37.1,0.14,263,SNIa,2005ApJ...624..532R,03:35.5,-35:27:41.0,268.4,15.9,E3/S01,20310
Garland,27.91,0.24,3.82,TRGB,2002A&A...383..125K,03:42.0,+68:41:36.0,141.9,41.7,Im,106
Garland,27.76,...,3.56,BS,1991SvAL...17..383S,03:42.0,+68:41:36.0,141.9,41.7,Im,106
IC 2537,32.79,0.14,36.1,Sosies,2002A&A...393...57T,03:51.9,-27:34:15.1,263.2,22.1,SXT5,2574
Antlia Dwarf,25.6,...,1.32,TRGB,1997AJ....114.1447A,04:03.9,-27:19:55.0,263.1,22.3,IX.9,150
Antlia Dwarf,25.98,0.1,1.57,TRGB,2001MmSAI..72..765C,04:03.9,-27:19:55.0,263.1,22.3,IX.9,150
UGC 05427,29.26,0.2,7.11,BS,1998A&AS..133..181M,04:41.1,+29:21:55.2,199.4,53.4,S..8*,450
"DDO 071; KDG 063",27.72,...,3.5,TRGB,2000A&A...363..117K,05:06.4,+66:33:32.0,144.1,43.1,I..9*,-26
NGC 3115,30.02,0.15,10.1,PNLF,2002ApJ...577...31C,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,29.8,0.3,9.12,GCLF,1998AJ....116.2841K,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,30,0.07,10,GCLF,2001AJ....122.1251K,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,29.93,0.09,9.68,SBF,2001ApJ...546..681T,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,29.95,0.09,9.77,SBF,2001MNRAS.327.1004B,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,30.28,0.41,11.4,FP,2001MNRAS.327.1004B,05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
NGC 3115,30.68,...,13.7,FP,LEDA [April 2006],05:13.9,-07:43:06.9,247.8,36.8,L..-./,492
UGC 05423,28.61,...,5.27,BS,1999AstL...25..322S,05:30.6,+70:21:52.0,140,40.8,I..9,454
NGC 3136,31.95,0.22,24.5,SBF,2001ApJ...546..681T,05:48.2,-67:22:40.7,288,-9.4,E...*,1497
NGC 3136,32.03,0.22,25.4,SBF,2001MNRAS.327.1004B,05:48.2,-67:22:40.7,288,-9.4,E...*,1497
NGC 3136,31.9,0.41,24,FP,2001MNRAS.327.1004B,05:48.2,-67:22:40.7,288,-9.4,E...*,1497
NGC 3124,32.94,0.57,38.7,Sosies,2002A&A...393...57T,06:39.9,-19:13:17.7,257.7,28.8,SXT4,3364
"KDG 064; UGC 05442",27.84,...,3.7,TRGB,2000A&A...363..117K,07:01.9,+67:49:39.0,142.6,42.5,I..9*,86
"KDG 064; UGC 05442",27.74,0.18,3.5,SBF,2005A&A...437..823R,07:01.9,+67:49:39.0,142.6,42.5,I..9*,86
UGC 05456,27.91,0.27,3.82,TRGB,2002AJ....123.1307M,07:20.2,+10:21:40.2,228.4,47.9,I.0.$,420
UGC 05456,28.74,...,5.6,TRGB,2002AJ....123.1307M,07:20.2,+10:21:40.2,228.4,47.9,I.0.$,420
UGC 05456,27.19,0.2,2.74,BS,1998A&AS..133..181M,07:20.2,+10:21:40.2,228.4,47.9,I.0.$,420
"DDO 074; Leo I",22,0.15,0.251,TRGB,1999AJ....117.2199C,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",21.9,0.05,0.24,TRGB,1999AJ....117.2199C,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",22,...,0.25,TRGB,2000glg..book.....V,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",22.05,0.1,0.26,TRGB,2002AJ....124..213M,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",22.1,0.15,0.263,TRGB,1999AJ....117.2199C,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",22.18,0.11,0.27,TRGB,1993AJ....106.1420L,08:27.4,+12:18:27.0,226,49.1,dE.3,60
"DDO 074; Leo I",21.73,...,0.222,Tully-Fisher,LEDA [April 2006],08:27.4,+12:18:27.0,226,49.1,dE.3,60
NGC 3131,34.48,0.05,78.7,Sosies,2002A&A...393...57T,08:36.4,+18:13:52.5,217.5,51.6,SB.3*,5016
IC 2554,32.04,0.34,25.6,Sosies,2002A&A...393...57T,08:50.6,-67:01:51.1,288,-9,SBS4P*,1136
[M92b] 100643-2624.0,36.35*,0.21,178,SNIa,2004ApJ...607..665R,09:01.2,-26:38:36.5,263.5,23.5,S,12977
[M92b] 100643-2624.0,36.4*,0.079,182,SNIa,2006ApJ...647..501P,09:01.2,-26:38:36.5,263.5,23.5,S,12977
[M92b] 100643-2624.0,36.72,0.14,221,SNIa,2005ApJ...624..532R,09:01.2,-26:38:36.5,263.5,23.5,S,12977
NGC 3145,33.55,0.11,51.3,Sosies,2002A&A...393...57T,10:09.9,-12:26:01.6,253,34.4,SBT4,3472
NGC 3145,33.24,...,44.5,Tully-Fisher,2003astro.ph.10284R,10:09.9,-12:26:01.6,253,34.4,SBT4,3472
NGC 3145,33.54,...,51.1,Tully-Fisher,2003astro.ph.10284R,10:09.9,-12:26:01.6,253,34.4,SBT4,3472
"NGC 3136B; ESO 092- G 013",31.64,0.19,21.3,SBF,2001ApJ...546..681T,10:12.9,-67:00:18.3,288.1,-8.9,E+,1564
"NGC 3136B; ESO 092- G 013",31.688,0.19,21.8,SBF,2001MNRAS.327.1004B,10:12.9,-67:00:18.3,288.1,-8.9,E+,1564
"NGC 3136B; ESO 092- G 013",32.77,0.41,35.8,FP,2001MNRAS.327.1004B,10:12.9,-67:00:18.3,288.1,-8.9,E+,1564
Sextans A,25.58,0.03,1.31,Cepheids,2003AJ....125.1261D,11:00.8,-04:41:34.0,246.1,39.9,IB.9,164
Sextans A,25.59,...,1.31,Cepheids,1991PASP..103..933M,11:00.8,-04:41:34.0,246.1,39.9,IB.9,164
